config,symbol,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,rs_rating,proximity_score,num_contractions,theoretical_rr,realized_rr
baseline_fixed,GOOGL,VCP,2025-09-03,230.45388793945312,2025-10-30,276.54466552734374,target,19.999999999999996,41,90.77004130252648,35.0,2,2.857142857142857,2.8571428571428568
baseline_fixed,META,VCP,2025-01-27,658.3422241210938,2025-03-07,612.2582684326171,stop,-7.000000000000011,28,90.60565897852331,35.0,2,2.857142857142857,-1.0000000000000016
baseline_fixed,META,VCP,2025-07-31,772.9183349609375,2025-10-01,718.8140515136719,stop,-7.000000000000001,43,90.52756506821578,90.0,2,2.857142857142857,-1.0000000000000002
baseline_fixed,AVGO,VCP,2024-12-13,222.6166229248047,2025-01-27,207.03345932006835,stop,-7.000000000000006,27,92.08869736026672,100.0,2,2.857142857142857,-1.0000000000000009
baseline_fixed,AVGO,VCP,2025-09-04,305.5764465332031,2025-09-10,366.6917358398437,target,19.99999999999999,4,92.50221957289796,80.0,2,2.857142857142857,2.8571428571428554
baseline_fixed,ORCL,VCP,2024-12-06,189.8021697998047,2024-12-10,176.51601791381836,stop,-7.000000000000001,2,90.86925042142757,90.0,2,2.857142857142857,-1.0000000000000002
baseline_fixed,ORCL,VCP,2025-01-22,182.85406494140625,2025-01-27,170.0542803955078,stop,-7.000000000000013,3,90.13455318314406,53.33333333333333,4,2.857142857142857,-1.000000000000002
baseline_fixed,ORCL,VCP,2025-06-12,199.09072875976562,2025-07-08,238.90887451171875,target,20.0,16,90.77221626868689,60.0,2,2.857142857142857,2.857142857142857
baseline_fixed,CRM,VCP,2024-12-04,365.6567077636719,2024-12-18,340.06073822021483,stop,-7.0000000000000036,10,90.4750502845796,80.0,2,2.857142857142857,-1.0000000000000004
baseline_fixed,UNH,VCP,2025-04-08,545.7384643554688,2025-04-17,507.5367718505859,stop,-7.0000000000000036,7,90.64391935046912,43.33333333333333,4,2.857142857142857,-1.0000000000000004
baseline_fixed,ABBV,VCP,2025-03-31,204.35057067871094,2025-04-04,190.04603073120117,stop,-7.000000000000001,4,90.14580057981703,35.0,2,2.857142857142857,-1.0000000000000002
baseline_fixed,ABT,VCP,2025-04-16,128.5487823486328,2025-07-15,130.9078826904297,time,1.8351790648618038,60,90.80974090075733,35.0,2,2.857142857142857,0.26216843783740057
baseline_fixed,BMY,VCP,2025-03-07,58.83955383300781,2025-04-04,54.72078506469726,stop,-7.000000000000009,20,90.06528096190085,53.33333333333333,4,2.857142857142857,-1.0000000000000013
baseline_fixed,GE,VCP,2025-01-23,199.8905792236328,2025-04-04,185.8982386779785,stop,-7.000000000000009,50,90.01020155274826,16.666666666666657,4,2.857142857142857,-1.0000000000000013
baseline_fixed,GE,VCP,2025-07-16,265.8551330566406,2025-10-09,299.3500061035156,time,12.598919066098638,60,91.58540506162306,90.0,2,2.857142857142857,1.799845580871234
baseline_fixed,BA,VCP,2025-07-09,226.60000610351562,2025-10-02,217.42999267578125,time,-4.046784280996587,60,90.78880665087445,100.0,2,2.857142857142857,-0.5781120401423695
baseline_fixed,RTX,VCP,2025-07-23,155.1904754638672,2025-10-16,156.43173217773438,time,0.7998278954665539,60,90.06326115453965,75.0,2,2.857142857142857,0.1142611279237934
baseline_fixed,DE,VCP,2025-02-18,496.50250244140625,2025-03-03,461.74732727050775,stop,-7.0000000000000115,9,90.06563173658137,45.0,2,2.857142857142857,-1.0000000000000016
baseline_fixed,DE,VCP,2025-04-09,449.591552734375,2025-07-08,507.1388854980469,time,12.799914147335336,60,90.10254181840153,60.0,2,2.857142857142857,1.828559163905048
baseline_fixed,DE,VCP,2025-05-15,512.8994140625,2025-08-12,504.08953857421875,time,-1.717661445253223,60,90.33540412384501,60.0,2,2.857142857142857,-0.24538020646474615
baseline_fixed,MMM,VCP,2025-01-17,138.4167022705078,2025-04-04,128.72753311157226,stop,-7.000000000000006,53,90.13257953382181,45.0,2,2.857142857142857,-1.0000000000000009
baseline_fixed,MMM,VCP,2025-02-27,148.45956420898438,2025-04-03,138.06739471435546,stop,-7.000000000000006,25,91.56969310385857,35.0,2,2.857142857142857,-1.0000000000000009
baseline_fixed,MMM,VCP,2025-04-09,136.42657470703125,2025-04-21,126.87671447753905,stop,-7.000000000000006,7,90.6036407762714,60.0,2,2.857142857142857,-1.0000000000000009
baseline_fixed,JPM,VCP,2025-01-17,255.09832763671875,2025-03-07,237.2414447021484,stop,-7.000000000000009,33,90.02103977667997,60.0,2,2.857142857142857,-1.0000000000000013
baseline_fixed,V,VCP,2025-02-28,360.75799560546875,2025-03-11,335.5049359130859,stop,-7.000000000000014,7,90.02221112881087,45.0,2,2.857142857142857,-1.000000000000002
