symbol,pattern,detector,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,spy_above_200ma,spy_distance_from_200ma
AAPL,VCP,v3,2023-05-05,171.25146484375,159.26386230468748,0,2023-08-04,186.05998316846882,trailing_stop,8.647236003633676,62,14.365511582772294,1.6790209744076208,82.09116452700387,1.8897645874467937,2,97.5,True,4.824768934017517
AAPL,VCP,v3,2024-06-11,205.75253295898438,191.34985565185545,0,2024-07-18,223.8481396742797,trailing_stop,8.794840313777614,25,14.520884540818546,0.2703292140637364,72.49840465354353,2.824131769365207,2,100.0,True,12.401110208992334
MSFT,VCP,v3,2023-02-07,261.31231689453125,243.02045471191406,0,2023-02-24,243.02045471191406,stop,-7.000000000000002,12,3.4384970039639633,7.040887498733286,71.2122774749147,1.6607311209894235,2,100.0,True,6.145319232977856
GOOGL,VCP,v3,2020-03-02,68.84119415283203,64.02231056213378,0,2020-03-06,64.02231056213378,stop,-7.000000000000011,4,1.5775584315571312,9.313150514189038,81.19083435304293,1.5554425617125975,2,97.5,True,2.1336874396938073
GOOGL,VCP,v3,2020-11-04,86.69456481933594,80.62594528198241,0,2021-01-27,91.14515755348918,trailing_stop,5.133646778697029,56,10.666996609154769,2.9699057767204295,84.32529935923198,1.8098525876564107,2,97.5,True,10.664535958237625
GOOGL,VCP,v3,2023-05-10,110.98452758789062,103.21561065673828,0,2023-05-24,119.28577387975112,trailing_stop,7.479642858583679,10,13.1364661669302,0.0,78.05429280446884,1.8362836155562388,3,100.0,True,4.798325568773668
AMZN,VCP,v3,2020-03-10,94.59100341796875,87.96963317871094,0,2020-03-12,87.96963317871094,stop,-7.000000000000002,2,0.0,11.460924428579816,80.90271625334628,1.5267304643222825,3,95.0,False,-4.835230697482203
AMZN,VCP,v3,2023-12-15,149.97000122070312,139.4721011352539,0,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,16.950055319087458,3.947454904820035,88.84586205584837,2.0745239154989346,2,100.0,True,9.806797824047262
AMZN,VCP,v3,2024-06-26,193.61000061035156,180.05730056762695,0,2024-07-25,180.05730056762695,stop,-7.000000000000001,20,3.9202501492502027,8.682401480089135,82.63397057239682,1.5851877051733336,3,100.0,True,13.338408253312295
AMZN,VCP,v3,2024-11-06,207.08999633789062,192.59369659423828,0,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.511470433286545,5.475878380618707,76.46475383812616,1.9657991272759232,2,100.0,True,10.789429862260354
NVDA,VCP,v3,2021-02-10,14.723666191101074,13.693009557723999,0,2021-02-23,13.693009557723999,stop,-7.0000000000000036,8,4.1197489435486085,9.31134746226734,91.18525183143159,1.7555703455061056,2,90.0,True,15.909851607131465
NVDA,VCP,v3,2021-04-12,15.172428131103516,14.11035816192627,0,2021-05-04,14.11035816192627,stop,-7.000000000000001,16,6.609557418701923,7.881841812487243,86.14551338971448,2.5694680080064223,2,100.0,True,15.881590936204601
NVDA,VCP,v3,2024-01-08,52.22681427001953,48.57093727111816,0,2024-02-13,70.844933822972,trailing_stop,35.64858361203945,25,42.787982749515216,1.0774530368223034,94.06166267839424,1.5658356502059974,2,90.0,True,9.536739007095552
META,VCP,v3,2020-08-06,263.6546630859375,245.19883666992186,0,2020-08-26,287.6631314765794,trailing_stop,9.106028359079847,14,14.84845090429459,3.826149447895567,88.86989529945546,1.8589449274581027,2,100.0,True,10.459313260876906
BRK-B,VCP,v3,2022-11-11,309.7200012207031,288.03960113525386,0,2023-03-24,298.9200134277344,time,-3.4870165796211516,90,3.745320307954405,5.585686337590114,80.93374597083037,1.5604811740921458,2,100.0,False,-1.5277631892262156
UNH,VCP,v3,2021-03-19,340.4396667480469,316.6088900756836,0,2021-05-12,376.8517094145407,trailing_stop,10.695593440773084,37,16.521677306076946,1.4962586434031413,72.81730884154483,2.481819655615642,2,90.0,True,11.822564105142932
JNJ,VCP,v3,2020-03-17,116.10324096679688,107.97601409912109,0,2020-03-19,107.97601409912109,stop,-7.000000000000004,2,0.0,7.643314600428772,90.16523513440576,2.0150898925849408,2,90.0,False,-16.4624875492902
XOM,VCP,v3,2023-01-31,104.63914489746094,97.31440475463866,0,2023-03-13,97.31440475463866,stop,-7.000000000000013,28,3.1204165882639936,9.905931405700098,90.89244609500933,1.6347084023511995,2,90.0,True,3.772412954222886
XOM,VCP,v3,2023-04-03,105.55340576171875,98.16466735839843,0,2023-05-03,98.16466735839843,stop,-7.000000000000004,21,3.2635901552925817,7.20742132945974,90.22091449168144,1.6019395492917068,2,90.0,True,5.445652896862404
XOM,VCP,v3,2023-09-27,111.1041259765625,103.32683715820312,0,2023-10-04,103.32683715820312,stop,-7.000000000000004,5,0.4159628059433973,8.069885735496785,83.17474174137939,1.5918282581948329,2,100.0,True,2.4872548482872467
JPM,VCP,v3,2023-06-29,135.24725341796875,125.77994567871093,0,2023-08-15,143.75343386448824,trailing_stop,6.289355407634012,32,11.883532008035811,0.7101928976527028,76.03121093002866,1.5097587314862888,2,100.0,True,10.618680408100074
JPM,VCP,v3,2024-06-28,195.77593994140625,182.0716241455078,0,2024-08-01,201.164716020028,trailing_stop,2.7525221333298493,23,8.160549614031423,0.0,76.62679067652329,1.6966789092024737,2,100.0,True,12.82602254435425
JPM,VCP,v3,2024-11-06,241.93841552734375,225.00272644042968,0,2024-12-18,225.00272644042968,stop,-7.000000000000002,29,2.9345109627848918,7.09544522299572,87.65533962195016,2.659028712606127,3,100.0,True,10.789429862260354
V,VCP,v3,2020-03-02,184.6129913330078,171.69008193969725,0,2020-03-09,171.69008193969725,stop,-7.000000000000008,5,1.123079081005029,12.488949506006563,78.29548393937472,1.909468343206413,2,90.0,True,2.1336874396938073
V,VCP,v3,2023-01-10,216.1490020751953,201.01857192993162,0,2023-05-19,228.9882354736328,time,5.939991984774885,90,6.758072463625944,5.391971895582519,84.97060232992462,1.5429664350440548,3,92.5,False,-1.0957750784378666
MA,VCP,v3,2022-01-28,374.1453552246094,347.9551803588867,0,2022-02-24,347.9551803588867,stop,-7.0000000000000036,18,4.551531192438609,10.770959325177063,77.20117408028841,1.6146655469131297,2,90.0,True,0.426315768605006
MA,VCP,v3,2023-01-06,361.8492126464844,336.51976776123047,0,2023-03-13,336.51976776123047,stop,-7.000000000000001,44,6.0733824624281185,7.468659324837583,88.31966930018136,1.6237874160138377,3,100.0,False,-1.858433657934581
MA,VCP,v3,2023-06-30,387.68072509765625,360.5430743408203,0,2023-10-26,360.5430743408203,stop,-7.000000000000008,82,6.586662299877559,7.426384703303729,74.0041935064859,1.5017136252459353,2,97.5,True,11.844285131240902
HD,VCP,v3,2022-11-10,288.9303894042969,268.7052621459961,0,2022-12-14,307.6392809922223,trailing_stop,6.47522457796792,23,12.079183766282018,2.7109283803785997,76.16047924738598,2.1090880751283474,2,90.0,False,-2.5051833139828985
ABBV,VCP,v3,2020-02-07,72.9321060180664,67.82685859680176,0,2020-02-27,67.82685859680176,stop,-7.000000000000002,13,6.03529646660638,8.765873575852883,79.43569781070673,2.368007077364515,2,100.0,True,10.86194731653231
ABBV,VCP,v3,2024-07-25,174.62106323242188,162.39758880615233,0,2024-09-26,182.0810540115428,trailing_stop,4.272102483531219,44,9.760107877401293,0.9002629587257109,74.61613955525797,1.7202598298869958,2,100.0,True,9.076233777707579
LLY,VCP,v3,2021-06-07,212.9856719970703,198.07667495727537,0,2021-08-03,235.84392034314638,trailing_stop,10.732293929326142,40,16.56030939929068,2.4806813243515533,84.92903924134356,5.238405611174682,2,90.0,True,12.856270564929751
LLY,VCP,v3,2021-12-15,265.1941223144531,246.63053375244138,0,2022-01-06,246.63053375244138,stop,-7.000000000000011,15,3.1313339760848478,7.199940947446157,90.06832813505103,3.37454191167107,2,100.0,True,9.10625062665401
LLY,VCP,v3,2023-08-08,512.3341674804688,476.4707757568359,0,2023-09-18,562.7951833956517,trailing_stop,9.84923885973439,28,15.630777747088828,0.9030119387166925,91.18650525836388,5.4525219336269375,2,100.0,True,10.211213042693265
AVGO,VCP,v3,2023-08-31,89.51821899414062,83.25194366455078,0,2023-09-07,83.25194366455078,stop,-7.000000000000002,4,0.0,8.925223010444954,91.69649416446734,2.367433095773761,2,97.5,True,9.087070683191106
AVGO,VCP,v3,2023-11-10,93.3830795288086,86.84626396179199,0,2023-12-11,96.3102706211327,trailing_stop,3.1346054414719453,20,8.562742569970476,5.683432800923635,92.25060498984288,1.6394242851021747,2,97.5,True,4.287729410090418
AVGO,VCP,v3,2024-12-11,181.42066955566406,168.72122268676756,0,2024-12-13,215.15480105762424,trailing_stop,18.594425643220198,2,24.836237519179157,3.9355910669176506,83.30157246087867,2.0928578726551184,3,100.0,True,11.190788682402127
COST,VCP,v3,2020-01-21,286.4010009765625,266.3529309082031,0,2020-02-28,266.3529309082031,stop,-7.000000000000002,27,4.049590677512607,13.2184409558297,74.95859096855555,1.7704825761091745,2,100.0,True,11.600421457098738
COST,VCP,v3,2020-03-04,293.8578796386719,273.2878280639648,0,2020-03-09,273.2878280639648,stop,-7.0000000000000115,3,1.1754033391826995,8.648746778166272,83.98997303770817,1.8205424045329535,2,100.0,True,3.2979498016432935
COST,VCP,v3,2020-07-09,298.9369812011719,278.0113925170898,0,2020-09-04,317.9359384450853,trailing_stop,6.355505821853447,41,11.953164023003637,1.5635513589979808,73.90272952686288,1.7849908392238434,4,95.0,True,5.027409906712553
COST,VCP,v3,2024-11-08,938.9006958007812,873.1776470947265,0,2024-12-30,917.4227905273438,open,-2.2875587769289227,34,6.828774666557202,4.0517040924708905,79.28415972090511,1.804014180649139,3,100.0,True,11.889048649278804
PEP,VCP,v3,2020-03-04,119.74552917480469,111.36334213256835,0,2020-03-06,111.36334213256835,stop,-7.000000000000009,2,0.0,7.059754422831735,73.58167423247635,1.619728886271728,2,90.0,True,3.2979498016432935
TMO,VCP,v3,2020-11-25,442.7258605957031,411.7350503540039,0,2021-01-27,489.79881318899527,trailing_stop,10.632528339309982,41,16.45529298874736,1.4382875462033777,83.35896547799975,1.7070993224937485,2,100.0,True,15.934077498927856
TMO,VCP,v3,2023-02-01,582.5819091796875,541.8011755371093,0,2023-02-21,541.8011755371093,stop,-7.000000000000011,13,1.3296712903061485,7.360046046675631,76.61681734625977,1.67372678918368,2,100.0,True,4.903866327716346
WMT,VCP,v3,2020-08-17,42.162506103515625,39.211130676269526,0,2020-09-01,44.18683849454474,trailing_stop,4.8012620171558495,11,10.317117912795633,4.3731849667028815,73.00460067718913,1.5687289300803624,2,100.0,True,11.142318351982722
WMT,VCP,v3,2023-05-31,47.6686897277832,44.33188144683837,0,2023-10-06,51.319252746715726,trailing_stop,7.658198787882416,89,13.32441977671834,0.6332128982466505,72.88458455818231,1.663345033299692,2,90.0,True,5.89828848063298
WMT,VCP,v3,2023-08-18,51.44057846069336,47.83973796844482,0,2023-12-27,51.61528396606445,time,0.33962585686043417,90,7.604648258897999,4.96078027041692,73.20144953022621,1.6800506270688946,2,97.5,True,6.500899809749902
ACN,VCP,v3,2020-06-25,200.7547607421875,186.70192749023437,0,2020-09-04,218.28021063431774,trailing_stop,8.729780468138788,50,14.452400492777674,3.299267853873623,81.25553453169901,1.9695319264728237,2,90.0,True,2.927824436338787
ACN,VCP,v3,2023-05-26,292.3131103515625,271.8511926269531,0,2023-06-22,299.9516638615404,trailing_stop,2.613140923029786,17,8.013832550557675,2.503291097742487,73.6626881964871,1.7309294578578331,2,100.0,True,6.450207776649792
DHR,VCP,v3,2021-06-17,223.48216247558594,207.8384111022949,0,2021-09-13,276.0146881204383,trailing_stop,23.506361788758507,60,30.0066966197458,0.5523479126968627,75.20054443594267,2.0494809256002986,2,90.0,True,11.816043145037106
DHR,VCP,v3,2024-01-30,242.71096801757812,225.72120025634763,0,2024-05-29,253.47071756594605,trailing_stop,4.433153407220005,83,9.929635165494753,5.698698275058297,71.80011468646245,2.0842457097718987,2,100.0,True,11.728246012240259
CMCSA,VCP,v3,2020-09-22,39.96871566772461,37.170905570983884,0,2020-10-28,37.170905570983884,stop,-7.000000000000008,26,1.9051813957569212,8.808240338128478,74.50119229387641,1.8711802086120257,2,100.0,True,7.511654303916281
