config,detector,total_trades,win_rate,profit_factor,total_return,avg_win,avg_loss,avg_days_held,bull_win_rate,bear_win_rate
V2_RS70_Trailing,v2,619,52.1,1.34,672.5,8.46,-6.86,32.5,52.1,52.0
V3_RS70_Trailing,v3,85,51.8,1.28,77.9,8.32,-7.0,32.7,53.2,25.0
V3_RS70_Relaxed,v3,402,49.2,1.11,158.5,8.01,-6.98,32.4,49.5,43.8
V3_No_Filter,v3,85,51.8,1.28,77.9,8.32,-7.0,32.7,53.2,25.0
V3_With_Filter,v3,81,53.2,1.36,92.9,8.38,-7.0,31.9,53.2,0.0
V2_No_Filter,v2,619,52.1,1.34,672.5,8.46,-6.86,32.5,52.1,52.0
V2_With_Filter,v2,574,52.2,1.3,547.5,8.19,-6.88,32.7,52.2,0.0
V2_2020-2024,v2,1026,49.0,1.13,473.0,8.13,-6.89,28.1,48.2,54.6
V3_2020-2024,v3,144,43.6,0.95,-29.9,8.48,-6.92,25.7,43.6,43.5
V3_2020-2024_Filter,v3,121,43.6,0.94,-25.3,8.51,-6.96,26.2,43.6,0.0
Trail_8%_5%,v3,85,51.8,1.28,77.9,8.32,-7.0,32.7,53.2,25.0
Trail_10%_5%,v3,85,46.3,1.21,64.7,9.68,-6.89,36.7,47.4,25.0
Trail_8%_3%,v3,85,51.8,1.21,57.6,7.85,-7.0,28.5,53.2,25.0
Trail_10%_3%,v3,85,46.3,1.16,47.7,9.24,-6.89,34.2,47.4,25.0
Fixed_7%_21%,v3,85,46.9,1.26,79.0,10.0,-7.0,37.5,48.1,25.0
