symbol,first_alert_date,num_alerts,max_contractions,converted_to_pre_alert,pre_alert_date,converted_to_trade,trade_date
AMZN,2023-12-11,1,2,True,2023-12-11,True,2023-12-15
AMZN,2024-06-07,2,3,True,2024-06-10,False,
AMZN,2024-08-02,1,3,False,,False,
AMZN,2024-10-29,1,2,True,2024-11-01,True,2024-11-06
AMZN,2024-12-19,1,2,False,,True,2024-12-20
GOOGL,2021-11-29,1,3,True,2021-12-07,False,
GOOGL,2023-08-07,1,2,True,2023-08-16,True,2023-08-29
GOOGL,2024-10-16,1,2,False,,False,
GOOGL,2024-12-03,1,3,False,,True,2024-12-11
MSFT,2023-03-20,1,2,False,,False,
MSFT,2023-05-05,1,2,False,,True,2023-05-25
MSFT,2023-07-19,1,2,False,,False,
MSFT,2024-04-19,1,3,False,,False,
AAPL,2023-03-21,1,2,False,,False,
AAPL,2023-06-16,1,2,False,,False,
AAPL,2023-07-20,1,2,False,,False,
AAPL,2023-08-21,1,2,False,,False,
AAPL,2023-09-21,1,2,False,,False,
AAPL,2024-09-23,2,3,True,2024-09-30,False,
AAPL,2024-11-13,1,3,True,2024-11-22,False,
META,2023-10-04,1,2,True,2023-10-09,False,
META,2023-11-03,1,2,True,2023-11-07,False,
META,2023-12-06,1,2,True,2023-12-06,False,
META,2024-04-08,1,2,True,2024-04-08,True,2024-05-01
META,2024-06-03,2,3,True,2024-06-12,True,2024-07-05
META,2024-07-18,1,3,True,2024-08-09,False,
META,2024-08-19,1,3,True,2024-08-19,False,
META,2024-09-30,1,3,False,,False,
META,2024-10-30,1,3,False,,False,
TSLA,2024-12-23,1,2,False,,False,
NVDA,2021-11-29,1,2,False,,True,2021-12-07
NVDA,2023-12-11,1,2,True,2023-12-18,True,2024-01-08
NVDA,2024-04-04,1,2,False,,False,
NVDA,2024-05-06,1,2,False,,False,
NVDA,2024-10-09,1,2,False,,False,
NVDA,2024-11-08,1,2,False,,False,
NVDA,2024-12-11,1,2,True,2024-12-17,False,
AMD,2021-11-29,1,2,False,,False,
AMD,2021-12-30,1,2,True,2022-01-31,False,
AMD,2022-02-03,1,2,False,,False,
AMD,2023-07-18,1,2,False,,False,
AMD,2023-08-17,1,2,False,,False,
AMD,2023-12-11,1,2,False,,False,
AMD,2024-07-09,1,2,False,,False,
AMD,2024-09-25,1,2,False,,False,
AVGO,2022-03-09,2,3,False,,False,
AVGO,2022-04-14,1,3,False,,False,
AVGO,2022-05-17,1,3,False,,False,
AVGO,2023-01-27,1,2,True,2023-01-30,False,
AVGO,2023-03-14,1,2,False,,False,
AVGO,2023-04-14,1,2,False,,False,
AVGO,2023-05-16,1,2,False,,True,2023-05-31
AVGO,2023-08-22,1,2,True,2023-08-30,True,2023-08-31
AVGO,2023-09-22,1,2,True,2023-10-12,False,
AVGO,2023-10-24,1,2,True,2023-11-07,False,
AVGO,2024-05-09,1,2,True,2024-05-16,False,
AVGO,2024-06-11,1,2,False,,False,
AVGO,2024-07-15,1,2,True,2024-08-05,False,
AVGO,2024-08-14,1,2,False,,False,
AVGO,2024-09-16,1,2,False,,False,
QCOM,2022-02-22,1,2,False,,False,
QCOM,2023-07-27,1,3,True,2023-07-27,True,2023-07-28
QCOM,2023-12-05,1,2,True,2023-12-05,False,
MU,2023-03-23,3,4,True,2023-03-29,True,2023-05-15
MU,2023-05-30,1,4,True,2023-06-29,False,
MU,2023-06-30,1,4,True,2023-06-30,False,
MU,2023-08-02,1,3,True,2023-08-16,False,
MU,2023-09-01,1,3,False,,True,2023-09-22
MU,2024-06-07,1,2,True,2024-06-07,True,2024-06-17
MU,2024-07-19,1,2,False,,False,
MU,2024-08-20,1,2,False,,False,
INTC,2023-08-15,1,2,False,,False,
INTC,2024-03-06,1,2,False,,False,
LRCX,2023-04-14,1,2,False,,True,2023-04-19
LRCX,2023-04-21,2,3,False,,True,2023-05-15
LRCX,2023-07-07,1,3,False,,True,2023-07-27
LRCX,2023-10-23,1,2,True,2023-11-02,False,
LRCX,2023-12-12,1,2,False,,True,2023-12-14
LRCX,2024-04-11,1,2,True,2024-04-11,True,2024-04-26
LRCX,2024-06-11,1,2,True,2024-06-11,True,2024-06-12
LRCX,2024-07-12,1,2,True,2024-07-22,False,
LRCX,2024-08-13,1,2,False,,False,
AMAT,2023-03-20,1,2,True,2023-03-20,False,
AMAT,2023-05-22,1,3,True,2023-05-23,True,2023-05-25
AMAT,2023-06-23,1,3,False,,True,2023-06-26
