symbol,pattern,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,contraction_quality,volume_quality,final_contraction_pct,risk_pct,reward_pct,theoretical_rr,realized_rr
AAPL,VCP,2025-01-28,237.18727111816406,220.58416213989256,284.6247253417969,2025-03-11,220.58416213989256,stop,-7.000000000000009,29,5.0427531049423955,8.633817232419947,73.66911691027944,1.5070312172173992,2,90.0,100,80.0,5.313320834424949,7.0,20.0,2.857142857142857,-1.0000000000000013
META,VCP,2025-01-24,645.9810791015625,600.762403564453,775.1772949218749,2025-03-07,600.762403564453,stop,-7.0000000000000115,29,14.428019696624359,7.240271640175622,88.96361724195827,1.5373828535118546,2,97.5,100,95.0,7.3995460966140385,7.0,20.0,2.857142857142857,-1.0000000000000016
BRK-B,VCP,2025-02-24,498.4200134277344,463.53061248779295,598.1040161132812,2025-04-07,463.53061248779295,stop,-7.0000000000000036,30,8.14172494663465,7.287028278507273,74.88677130642012,2.4639380737692425,2,100.0,100,100.0,4.472060338608166,7.0,20.0,2.857142857142857,-1.0000000000000004
JNJ,VCP,2025-08-04,168.72242736816406,156.91185745239258,202.46691284179687,2025-10-28,185.75062561035156,time,10.092433180226116,60,14.539003532108675,0.8126695912804547,70.57000620267816,1.5083923964013009,3,92.5,100,85.0,5.790387735627107,7.0,20.0,2.857142857142857,1.441776168603731
AVGO,VCP,2024-12-11,181.420654296875,168.72120849609374,217.70478515624998,2024-12-13,217.70478515624998,target,19.99999999999999,2,24.83624801880955,3.9355911805150576,83.30157870534266,2.0928578726551184,3,100.0,100,100.0,8.715316146476331,7.0,20.0,2.857142857142857,2.8571428571428554
CSCO,VCP,2025-06-23,66.57522583007812,61.914960021972654,79.89027099609375,2025-09-17,67.31353759765625,time,1.1089887542590386,60,8.320406695921275,1.8323085347732022,90.03476950623305,1.6624974766971887,3,100.0,100,100.0,3.8985465083346558,7.0,20.0,2.857142857142857,0.15842696489414837
MCD,VCP,2025-03-07,317.6745300292969,295.43731292724607,381.2094360351562,2025-03-12,295.43731292724607,stop,-7.000000000000008,3,1.5655662969988118,7.762455212364573,81.38084773921162,2.3687984690430213,2,100.0,100,100.0,3.6243448161053946,7.0,20.0,2.857142857142857,-1.000000000000001
WMT,VCP,2025-08-06,103.11915588378906,95.90081497192382,123.74298706054687,2025-08-26,95.90081497192382,stop,-7.000000000000006,14,1.3157900973722154,7.466273020621286,75.6487265273833,1.5150430169743483,3,100.0,100,100.0,4.410523158028633,7.0,20.0,2.857142857142857,-1.0000000000000009
CRM,VCP,2025-01-28,358.19256591796875,333.1190863037109,429.83107910156247,2025-02-03,333.1190863037109,stop,-7.000000000000011,4,0.06390156044938805,7.97054665929476,86.19950842496823,1.8171067823755074,2,90.0,100,80.0,7.477237618867264,7.0,20.0,2.857142857142857,-1.0000000000000016
VZ,VCP,2025-03-21,41.885711669921875,38.95371185302734,50.26285400390625,2025-04-09,38.95371185302734,stop,-7.000000000000001,13,5.001128416427601,7.069788300931029,81.4519308159599,2.674505887230417,2,90.0,100,80.0,4.4189101224538465,7.0,20.0,2.857142857142857,-1.0000000000000002
